question_id,question_type,question,answer,answer_begin_position,answer_end_position,article_id
15018,2,นกเค้าใหญ่ หรือ นกเค้าอินทรีโลกเก่าเป็นสกุลของนกล่าเหยื่อสกุลหนึ่งในวงศ์นกแก้วและใช้ชื่อสกุลว่า Bubo ใช่หรือไม่,ไม่ใช่,,,611765
15019,2,ภควา หรือ ภควานฺเป็นสมัญญาของพุทธศาสนิกชนที่เป็นกษัตริย์ในศาสนาแบบอินเดียใช่หรือไม่,ไม่ใช่,,,847089
15020,2,ภาษามอลโดวา เป็นชื่อทางการของภาษาทัชมาเนียในประเทศเยอรมันใช่หรือไม่,ไม่ใช่,,,132145
15021,2,ภาษามอลโดวาถูกจัดเป็นหนึ่งในห้าสำเนียงของภาษาทัชมาเนียใช่หรือไม่,ไม่ใช่,,,132145
15022,2,ดาวเอ็นเอ็มแอล ไซจไน หรือเรียกอีกชื่อหนึ่งว่า ดาวเอ็นเอ็มแอล ไซจเป็นดาวฤกษ์ยักษ์ใหญ่แดงอยู่ในกลุ่มดาวลูกไก่ใช่หรือไม่,ไม่ใช่,,,482671
15023,2,ปลาเก๋าเสือ หรือ ปลากะรังลายน้ำตาลเป็นปลาทะเลขนาดใหญ่ชนิดหนึ่งในวงศ์ปลากะตักใช่หรือไม่,ไม่ใช่,,,432454
15024,2,วจีทุจริตเป็นการประพฤติชั่วภายในใจใช่หรือไม่,ไม่ใช่,,,111509
15025,2,กลุ่มดาวสารถี เป็นกลุ่มดาวทางซีกฟ้าใต้ที่มีทางช้างเผือกพาดผ่านใช่หรือไม่,ไม่ใช่,,,5230
15026,2,"""คำวิเศษ"" เป็นซิงเกิลของวงดนตรีเครสเชนโด้ ประพันธ์เนื้อร้องและแต่งทำนองโดย อุทัย พิมพ์ใจชนใช่หรือไม่",ไม่ใช่,,,685790
15027,2,"เพลง ""คำวิเศษ"" ได้อันดับสูงสุดที่ 22 จากการจัดอันดับของ FAT RADIO ในชาร์ตของ FAT RADIO ใช่หรือไม่",ใช่,,,685790
15028,2,"มิวสิกวิดีโอสำหรับเพลงนำอีพี ""เฮย์มามา"" ออกมาในวันที่ 31 ตุลาคม ค.ศ. 2016 ออกแบบท่าเต้นโดยไคล์ อากาเนะซังใช่หรือไม่",ไม่ใช่,,,858930
15029,2,ทางหลวงแผ่นดินหมายเลข 116 สายป่าสัก – ท่าวังพร้าวเชื่อมต่อระหว่างทางหลวงแผ่นดินหมายเลข 11 กับ 118 ใช่หรือไม่,ไม่ใช่,,,702681
15030,2,ชาวออร์ทอดอกซ์ในประเทศไทยเรียก อัครบิดร ว่า พระสังฆราช ใช่หรือไม่,ใช่,,,342800
15031,2,อัครบิดร ถูกชาวโปรเตสแตนต์ในประเทศไทยเรียกว่า อัครปิตา ใช่หรือไม่,ใช่,,,342800
15032,2,พิธีสาบานตนรับตำแหน่งประธานาธิบดีของบารัก โอบามาคือ วันที่ 20 มกราคม ค.ศ. 2019 เวลาเที่ยงคืนตามเวลาของประเทศไทยใช่หรือไม่,ไม่ใช่,,,212850
15033,2,สยามแอร์ให้บริการจากท่าอากาศยานดอนเมือง กรุงเทพมหานคร โดยเริ่มเที่ยวบินปฐมฤกษ์สู่มาเก๊าเมื่อตุลาคม พ.ศ. 2557ใช่หรือไม่,ไม่ใช่,,,770171
15034,2,คาบสมุทรไครเมียตั้งอยู่ทางใต้ของแผ่นดินใหญ่อูกานดา และทางตะวันตกของเขตคูบันของแอฟริกาใช่หรือไม่,ไม่ใช่,,,278778
15035,2,คลังข้อความขนานเป็นข้อความต้นฉบับที่เป็นภาษาไทยและข้อความภาษาอื่นๆ ที่แปลมาจากข้อความภาษาอังกฤษใช่หรือไม่,ไม่ใช่,,,36170
15036,2,ทินวัฒน์ มฤคพิทักษ์ เกิดเมื่อวันที่ 19 มกราคม พ.ศ. 2487 ที่อำเภอนครชัยศรี จังหวัดนครพนมใช่หรือไม่,ไม่ใช่,,,384718
15037,2,เทศบาลตำบลดงมะไฟ เป็นองค์กรปกครองส่วนท้องถิ่นแห่งหนึ่งในอำเภอเมืองสกลนคร จังหวัดสกลนครใช่หรือไม่,ใช่,,,888251
15038,2,ที่หยุดรถไฟทุ่งน้ำซึมอยู่ห่างจากสถานีรถไฟกรุงเทพเป็นระยะทาง 231 กิโลเมตร เปิดใช้เมื่อ 1 ธ.ค. 2502 ใช่หรือไม่ใช่,ไม่ใช่,,,238767
15039,2,สมาคมมวยแห่งทวีปเอเชีย หรือที่นิยมเรียกกันว่า พาบา มีตัวย่อว่า PAMA ใช่หรือไม่,ไม่ใช่,,,138452
15040,2,PABA เริ่มจัดอันดับครั้งแรกเมื่อเดือนมิถุนายน พ.ศ. 2548 ใช่หรือไม่,ไม่ใช่,,,138452
15041,2,แซมมวล ป.คันนิ่งแฮม เป็นผู้เล่นกองหลังที่เป็นลูกครึ่งไทย-อเมริกันของสโมสรฟุตบอลแอร์ฟอร์ซ เซ็นทรัล เอฟซีใช่หรือไม่ใช่,ไม่ใช่,,,191460
15042,2,ย่าหยาในแง่มุมของชาติพันธุ์ หมายถึง ชายลูกครึ่งจีนกับมลายูที่เกิดในมลายูและอินโดนีเซียใช่หรือไม่,ไม่ใช่,,,297230
15043,2,ตลาดหลักทรัพย์ลอนดอนหรือ FTSE เป็นตลาดใหญ่ที่สุดในสหราชอาณาจักรที่ก่อตั้งในปี ค.ศ. 1901 ใช่หรือไม่,ไม่ใช่,,,312098
15044,2,“มัวร์” ในคำว่า ชามัวร์ หมายถึง ชนมุสลิมที่อาศัยอยู่ที่คาบสมุทรอินโดจีน ซึ่งเดิมเป็นชนอาหรับใช่หรือไม่,ไม่ใช่,,,141435
15045,2,กรมทหารราบที่ 369 หรือ15th New York National Guard Regimen tเป็นกรมทหารราบของทัพเยอรมันใช่หรือไม่,ไม่ใช่,,,821986
15046,2,ถนนอู่ทองเป็นถนนในท้องที่แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานครใช่หรือไม่,ไม่ใช่,,,9832
15047,2,ภาพยนตร์เรื่อง พันท้ายนรสิงห์ ถ่ายทำด้วยระบบฟิล์ม 16 มม. สีเมื่อปี 2493 สร้างจากบทละครเวทีของกรมพระยาดำรงราชานุภาพใช่หรือไม่,ไม่ใช่,,,370884
15048,2,เอเชีย-แปซิฟิก หรือเอแปก (Apac) เป็นภูมิภาคของโลกที่อยู่ในหรืออยู่ใกล้มหาสมุทรแปซิฟิกด้านใต้ใช่หรือไม่,ไม่ใช่,,,275744
15049,2,เจ้าชายฮุซัยน์ บิน อับดุลลอฮ์เป็นพระราชโอรสพระองค์เล็กในสมเด็จพระราชาธิบดีอับดุลลอฮ์ที่ 2 กับสมเด็จพระราชินีรานยาแห่งจอร์แดนใช่หรือไม่,ไม่ใช่,,,855708
15050,2,เจ็ทสตาร์แปซิฟิก เป็นสายการบินต้นทุนต่ำ มีสำนักงานใหญ่อยู่ที่นครโฮจิมินห์ ประเทศลาวใช่หรือไม่,ไม่ใช่,,,899789
15051,2,ซีอุย มีชื่อจริงว่า เหล่าอุย แซ่อึ้ง แต่คนไทยเรียกเพี้ยนเป็น ซีอุย เกิดเมื่อปี พ.ศ. 2470 ใช่หรือไม่,ไม่ใช่,,,22038
15052,2,ถนนราชวงศ์เป็นถนนในเขตสัมพันธวงศ์ กรุงเทพมหานคร มีระยะทางต่อมาจากถนนหมูป่าในเขตป้อมปราบศัตรูพ่ายใช่หรือไม่,ไม่ใช่,,,9778
15053,2,บางพลี เป็นอำเภอที่มีพื้นที่มากที่สุดในจังหวัดสมุทรสาครใช่หรือไม่,ไม่ใช่,,,15725
15054,2,โรงเรียนสาธิตมหาวิทยาลัยรามคำแหง(ฝ่ายประถม) ก่อตั้งขึ้นโดย ศาสตราจารย์ต่อสรรค์ แสงสุข อธิการบดีมหาวิทยาลัยใช่หรือไม่,ไม่ใช่,,,364847
15055,2,ตราสัญลักษณ์ประจำโรงเรียนสาธิตมหาวิทยาลัยรามคำแหงไม่เหมือนกับของมหาวิทยาลัยรามคำแหงใช่หรือไม่,ไม่ใช่,,,364847
15056,2,อาราธนาศีล คือร้องขอให้พระให้คำเทศนาใช่หรือไม่,ไม่ใช่,,,67271
15057,2,อาราธนาพระปริตร คือร้องขอให้พระพรมน้ำมนต์ใช่หรือไม่,ไม่ใช่,,,67271
15058,2,เอเชียนเกมส์ 2002 เป็นการแข่งขันเอเชียนเกมส์ ครั้งที่ 14 จัดขึ้นที่ ปูซาน ประเทศจีนใช่หรือไม่,ไม่ใช่,,,60764
15059,2,ยานอวกาศมาริเนอร์ 10 เป็นยานอวกาศ 1 ใน 9 ลำที่ไปสำรวจดาวพุธ และเป็นยานอวกาศลำแรกที่สำรวจดาวเคราะห์มากกว่าหนึ่งดวงใช่หรือไม่,ไม่ใช่,,,6245
15060,2,หูทวนลม เป็นซิงเกิลของตวงสิทธิ์ เรียมจินดา ประพันธ์คำร้องและทำนองโดย กสิ นิพัฒน์ศิริผลออกจำหน่ายเมื่อพ.ศ. 2556 ใช่หรือไม่,ไม่ใช่,,,705885
15061,2,วลาดิมีร์ ซามอยโลวิช โฮโรวิตซ์ เป็นนักไวโอลินชาวอเมริกัน-รัสเซียที่มีชื่อเสียงในระดับโลกใช่หรือไม่,ไม่ใช่,,,355187
15062,2,ไดนาสตีวอริเออร์กันดั้มเป็นวิดีโอเกมส์แนวแอ็กชันที่สร้างและพัฒนาโดย Korea และบันไดใช่หรือไม่,ไม่ใช่,,,206543
15063,2,สวนสัตว์ย่างกุ้ง เปิดขึ้นเพื่อเฉลิมพระเกียรติพระนางอลิซาเบทแห่งสหราชอาณาจักรใช่หรือไม่,ไม่ใช่,,,193600
15064,2,สวนสัตว์ย่างกุ้งได้รับการดูแลอย่างดีจากสหราชอาณาจักรในช่วงสงครามโลกครั้งที่ 2 ใช่หรือไม่,ไม่ใช่,,,193600
15065,2,"รุไบยาตเป็นคำในภาษาเปอร์เซีย ยืมมาจากภาษายิวว่า ""รุบาอียาต""",ไม่ใช่,,,17232
15066,2,ใช่หรือไม่ใช่ที่ว่าที่ลุ่มชื้นแฉะเป็นพื้นที่ชุ่มน้ำที่มีไม้ล้มลุกขึ้นอยู่มากกว่าไม้เนื้ออ่อน,ไม่ใช่,,,925578
15067,2,โตน ดึ๊ก ทั้ง เป็นประธานาธิบดีคนที่ 2 และคนสุดท้ายของกัมพูชาใช่หรือไม่,ไม่ใช่,,,747060
15068,2,IBM PC DOS ป็นระบบปฏิบัติการสำหรับคอมพิวเตอร์ส่วนบุคคลของแมคอินทอชซึ่งหยุดพัฒนาแล้วใช่หรือไม่,ไม่ใช่,,,951922
15069,2,สมาคมผู้สื่อข่าวบันเทิงแห่งประเทศไทยจัดงานรางวัลเมขลา เพื่อส่งเสริมและเป็นกำลังใจแก่คนทำงานด้านวิทยุใช่หรือไม่,ไม่ใช่,,,284139
15070,2,แจมป์เป็นเกิร์ลกรุปสัญชาติไทยสังกัดกรีนบีนส์ ในเครือจีเอ็มเอ็มแกรมมี่ในปีพ.ศ. 2552-พ.ศ. 2556 ใช่หรือไม่,ไม่ใช่,,,493515
15071,2,ไข้หวัดนก หรือชื่อสามัญ bird flu เป็นโรคที่เกิดจากไวรัสไข้หวัดใหญ่ชื่อ H5N5 ใช่หรือไม่,ไม่ใช่,,,1915
15072,2,สหรัฐอเมริกาผลิตวัคซีนไข้หวัดนกตัวแรก โดยสร้างจากสายพันธุ์ที่ติดเชื้อในหมูเมื่อ พ.ศ. 2550 ใช่หรือไม่,ไม่ใช่,,,1915
15073,2,วงศ์กบนา หรือ วงศ์กบแท้ เป็นวงศ์ของสัตว์ครึ่งบกครึ่งน้ำในอันดับคางคก (Anura) วงศ์หนึ่งใช่หรือไม่,ไม่ใช่,,,11170
15074,2,ป้อมวิไชยประสิทธิ์อยู่ริมแม่น้ำบางปะกงด้านตะวันตก ทางเหนือของปากคลองบางปะกงใช่หรือไม่,ไม่ใช่,,,231080
15075,2,เรจิสเตอร์จะเก็บข้อมูลเป็นไบต์จำนวนมากเพื่อให้ระบบต่างๆ สามารถเขียนเข้าไปใหม่ได้พร้อมกันใช่หรือไม่,ไม่ใช่,,,1003
15076,2,อุทยานแห่งชาติซาบาเงาตั้งอยู่ที่จังหวัดกาลีมันตันกลางในประเทศมาเลเซียใช่หรือไม่,ไม่ใช่,,,749505
15077,2,เกลือเปรอน (Peyrone's salt) เป็นยาเคมีบำบัด ออกฤทธิ์ยับยั้งการจำลองตัวเองของดีเอ็นเอ และใช้ในการรักษาโรคไตเสื่อมใช่หรือไม่,ไม่ใช่,,,833561
15078,2,เส้นประสาทเฟเชียล หรือ เส้นประสาทสมองเส้นที่ 7 เป็นหนึ่งในเส้นประสาทสมองจากจำนวนทั้งหมด 18 คู่ใช่หรือไม่,ไม่ใช่,,,184071
15079,2,ใยประสาทสั่งการของเส้นประสาทเฟเชียลเริ่มบริเวณซีรีบรัล คอร์เท็กซ์ จนถึงเส้นประสาทสไปนอล (spinal) ใช่หรือไม่,ไม่ใช่,,,184071
15080,2,ก่งจินโอวเป็นชื่อเพลงชาติเพลงแรกของเกาหลีใต้ ซึ่งถือกำเนิดขึ้นในระยะสุดท้ายของจักรวรรดิจีนสมัยราชวงศ์โครยอใช่หรือไม่,ไม่ใช่,,,282495
15081,2,กันตพงศ์ เล่าลือพงศ์ศิริเคยเรียนจบสาขาเทคนิคการแพทย์จากมหาวิทยาลัยมหิดลใช่หรือไม่,ไม่ใช่,,,169093
15082,2,นายแพทย์กันตพงศ์ เล่าลือพงศ์ศิริ จบการศึกษาเมื่อ พ.ศ. 2560 เป็นแพทย์ชาวไทยภูเขาเผ่าม้งคนแรกของประเทศไทยใช่หรือไม่,ไม่ใช่,,,169093
15083,2,"อากรีเจนโตเคยเป็นเมืองโบราณที่มีอายุเก่าแก่กว่า 2,500 ปี โดยการเข้ามายึดครองของพวกอาหรับใช่หรือไม่",ไม่ใช่,,,201495
15084,2,การไทเทรตเป็นวิธีที่ใช้ในการหาค่า PH ของสารละลายมาตรฐาน ที่ทำปฏิกิริยาพอดีกับสารละลายอื่นซึ่งทราบปริมาตรใช่หรือไม่,ไม่ใช่,,,191635
15085,2,จุดที่สารที่เรานำมาไทเทรตทำปฏิกิริยากันพอดี เราเรียกว่า จุดปฏิกิริยาต้านปริมาตรใช่หรือไม่,ไม่ใช่,,,191635
15086,2,ปฏิทินแบบไทยดั้งเดิม เป็นปฏิทินทางอุดมคติ ที่อาศัยการสังเกตลักษณะรูปร่างของดวงจันทร์ในตอนกลางคืนเพื่อการนับเวลาใช่หรือไม่,ไม่ใช่,,,160831
15087,2,เดวิด ฮูมเกิดในนอร์วิคและเข้าศึกษาที่มหาวิทยาลัยเอดินบะระใช่หรือไม่,ไม่ใช่,,,3757
15088,2,งานปรัชญาของเดวิด ฮูมเขียนขึ้นตั้งแต่คริสต์ศตวรรษที่ 18 และยังคงมีความสำคัญและยอมรับกันในวงการปรัชญาปัจจุบันใช่หรือไม่,ไม่ใช่,,,3757
15089,2,สมาคมฟุตบอล หรือ เอฟเอ เป็นสมาคมฟุตบอลที่ทันสมัยและใหม่ที่สุดในโลกก่อตั้งขึ้นเมื่อค.ศ. 2013 ใช่หรือไม่,ไม่ใช่,,,272137
15090,2,เกล็ดเลือดมีนิวเคลียสของเซลล์ และเป็นส่วนหนึ่งของไซโทพลาซึมที่มาจากเมกาคาริโอไซต์ของไขสันหลังใช่หรือไม่,ไม่ใช่,,,313325
15091,2,เกล็ดเลือดปกติสนองต่อความปกติบนผนังหลอดเลือดน้อยกว่าการตกเลือด ทำให้มีการยึดเกาะและการปลุกฤทธิ์ที่เหมาะสมใช่หรือไม่,ไม่ใช่,,,313325
15092,2,ไก่ดำ คือไก่พื้นเมืองที่มีต้นกำเนิดมาจากเทือกเขาอัลไตส่วนนอกใช่หรือไม่,ไม่ใช่,,,117348
15093,2,PzH 2000 ปืนใหญ่อัตตาจรขนาด 155 ม.ม. แบบหุ้มเกราะติดตั้งบนล้อสายพาน พัฒนาจากบริษัทไทยมายาวนานใช่หรือไม่,ไม่ใช่,,,370380
15094,2,รัฐเตลังคานา เป็นรัฐติดทะเลทางตอนใต้ของอินเดีย ที่จัดตั้งขึ้นเป็นรัฐที่ 29 เมื่อวันที่ 2 มิถุนายน 2557 ใช่หรือไม่,ไม่ใช่,,,624962
15095,2,คณะทำงานของรัฐสภามีมติเอกฉันท์ให้เสนอรวมรัฐเตลังคานาเข้ากับรัฐอานธรประเทศใช่หรือไม่,ไม่ใช่,,,624962
15096,2,"ความดันโลหิตในปอดสูงไม่ใช่สาเหตุหลักที่นำมาสู่อาการหายใจลำบาก, เวียนศีรษะ หมดสติชั่วคราว ขาบวมใช่หรือไม่",ไม่ใช่,,,791791
15097,2,กระแตเล็กเป็นสัตว์เลี้ยงลูกด้วยนมขนาดเล็ก มีลักษณะคล้ายกับหนูนาหรือกระต่าย แต่มีขนาดเล็กกว่ามากใช่หรือไม่,ไม่ใช่,,,440389
15098,2,ยีโอลดีเชชเชอร์ชีสเป็นหนึ่งในผับในอิตาลีที่สร้างขึ้นใหม่ไม่นานหลังจากไฟไหม้ครั้งใหญ่เมื่อ พ.ศ. 2209 ใช่หรือไม่,ไม่ใช่,,,239837
15099,2,"""ลามูร์เอ็กซีสต์อ็องกอร์"" หรือหมายถึง ""ความรักยังคงอยู่"" คือซิงเกิลภาษาอินเดียของเซลีน ดิออนใช่หรือไม่",ไม่ใช่,,,188052
15100,2,เหมา เจ๋อตง ได้รับความนิยมมีชื่อเรียกอีกอย่างว่า คุณชายเหมาใช่หรือไม่,ไม่ใช่,,,9984
15101,2,นางเจียง ชิง เป็นผู้นำการปฏิวัติกองทัพแดงที่ก่อการนองเลือดครั้งใหญ่ที่สุดของจีนใหม่ และนางมีชีวิตอยู่จนถึงปี 2540 ใช่หรือไม่,ไม่ใช่,,,9984
15102,2,ระบำไฟ เป็นละครโทรทัศน์แนวดราม่าจากบทประพันธ์ของทมยันตีใช่หรือไม่,ไม่ใช่,,,802595
15103,2,UZA เป็นซิงเกิ้ลลำดับที่ 28 ของ AKB48 ออกจำหน่ายวันที่ 31 ตุลาคม พ.ศ. 2560 ใช่หรือไม่,ไม่ใช่,,,479531
15104,2,แฟนซีเป็นสมาชิกทีมหมากรุกสากลลอยด์แบงค์บริติชจูเนียร์ตั้งแต่ ค.ศ. 1971 ถึง 1984 ใช่หรือไม่,ไม่ใช่,,,539172
15105,2,โรงเรียนเกาะยาววิทยา (ก.ว.) เป็นโรงเรียนมัธยมศึกษาในสังกัดสำนักงานเขตพื้นที่การศึกษาภูเก็ตใช่หรือไม่,ไม่ใช่,,,277234
15106,2,แซเมิล หรือภาษามาร์กอัปแอปพลิเคชันขยายได้ เป็นภาษามาร์กอัป ที่พัฒนาภาษามาจากเอกซ์เอ็มเอสใช่หรือไม่,ไม่ใช่,,,27832
15107,2,อาสนวิหารชาทร์เป็นอาสนวิหารโรมันคาทอลิกประจำมุขมณฑลชาทร์ ตั้งอยู่ที่เมืองชาทร์ในประเทศสวิสเซอร์แลนด์ใช่หรือไม่,ไม่ใช่,,,242273
15108,2,อาสนวิหารชาทร์ ไม่ได้รับการขึ้นทะเบียนเป็นมรดกโลกโดยองค์การยูเนสโกที่เสนอในปี ค.ศ. 1979 ใช่หรือไม่,ไม่ใช่,,,242273
15109,2,ท่อส่งแก๊สอาหรับของอียิปต์ส่งแก๊สไปยังตะวันออกกลางและทวีปยุโรปมีความยาวรวมกัน 120 กิโลเมตรใช่หรือไม่,ไม่ใช่,,,359291
15110,2,อุสุภราช หรือ นนทิ เป็นชื่อโคเผือกที่เป็นพาหนะของพระอินทร์ใช่หรือไม่,ไม่ใช่,,,176329
15111,2,โรงเรียนเทพมิตรศึกษา ถือเป็นโรงเรียนเอกชนของมูลนิธิคาทอลิก เขตมิสซังสงขลาใช่หรือไม่,ไม่ใช่,,,927928
15112,2,ปัณฑรหัตถี หรือ สัตว์หิมพานต์ตระกูลม้าที่มีกายสีดั่งรัศมีเงิน และมีอีกชื่อหนึ่งว่า นาคันธร ใช่หรือไม่,ไม่ใช่,,,950395
15113,2,วัดพิชัยญาติการาม หรือ วัดพิชัยญาติ เป็นพระอารามหลวงชั้นโท ตั้งอยู่เชิงสะพานพุทธ บริเวณที่เดิมเรียกว่าวงเวียนใหญ่ใช่หรือไม่,ไม่ใช่,,,50755
15114,2,รูปสามเหลี่ยมด้านเท่า คือรูปสามเหลี่ยมชนิดหนึ่งที่ด้านทั้งสามมีความยาวเท่ากัน แต่ถือไม่เท่ากันในเรขาคณิตแบบยุคลิดใช่หรือไม่,ไม่ใช่,,,106956
15115,2,พระเจ้าโจวนัน ซึ่งครองราชย์เมื่อ 314 – 256 ปีก่อนคริสตกาลเป็นพระมหากษัตริย์ลำดับสุดท้ายแห่งราชวงศ์โซ่วใช่หรือไม่,ไม่ใช่,,,886579
15116,2,ลาว หรือชื่ออย่างเป็นทางการคือ สาธารณรัฐปเผด็จการแห่งชาติลาวใช่หรือไม่,ไม่ใช่,,,1942
15117,2,มังกรหยก ตอน ศึกคัมภีร์มารนพเก้า เป็นละครโทรทัศน์ที่อิงเรื่องราวจากวรรณกรรมชิ้นเอกของจีนเรื่องมังกรทองใช่หรือไม่,ไม่ใช่,,,875280
15118,2,วิทยาลัยราชสุดา มหาวิทยาลัยมหิดล เป็นสถาบันอุดมศึกษาสำหรับผู้พิการ อยู่ที่จังหวัดนครปฐมใช่หรือไม่,ไม่ใช่,,,16670
15119,2,ไอดี เร็คคอร์ด (ID Records) เป็นค่ายเพลงในเครือบริษัท จีเอ็มเอ็มแกรมมีจำกัด (มหาชน) ใช่หรือไม่,ไม่ใช่,,,306029
15120,2,หาดปึกเตียน เป็นหาดสวยและสงบในจังหวัดประจวบคีรีขันธ์ อยู่ห่างจากตัวจังหวัด 21 กิโลเมตรใช่หรือไม่,ไม่ใช่,,,137810
15121,2,จริงหรือไม่ที่ชายฝั่งทะเลสมเด็จพระนเรศมหาราชอยู่ในพื้นที่แหลมผักเบี้ยของชายทะเลจังหวัดประจวบคีรีขันธ์เท่านั้น,ไม่ใช่,,,137810
15122,2,พระเจ้าศรีธรรมาโศกราช เป็นปฐมกษัตริย์เป็นต้นราชวงศ์ปทุมวงศ์ แห่งอาณาจักรตามพรลิงค์ เป็นผู้สร้างเมืองอโศกธรรมราชใช่หรือไม่,ไม่ใช่,,,624700
15123,2,จำนวนจริง คือจำนวนที่สามารถจับคู่หนึ่งต่อสองจุดบนเส้นตรงที่มีความยาวไม่สิ้นสุด (เส้นจำนวน) ได้ใช่หรือไม่,ไม่ใช่,,,11626
15124,2,เฮลมุท โอบลิงเกอร์ เป็นนักพายเรือแคนูสลาลอมชาวออสเตรเลียที่ร่วมเข้าแข่งขันตั้งแต่ยุคต้นทศวรรษ 1990 ใช่หรือไม่,ไม่ใช่,,,494629
15125,2,สันตะสำนัก หรือที่บางตำราเรียกว่า อาณาจักรอันศักดิ์สิทธิ์ เป็นมุขมณฑลโรมันคาทอลิกในกรุงบัวโนสไอเรสใช่หรือไม่,ไม่ใช่,,,248809
15126,2,คดีมโนสาเร่เป็นคดีที่มีทุนทรัพย์หรือค่าเช่าจำนวนมากและเกินจำนวนที่กำหนดในกฎหมายใช่หรือไม่,ไม่ใช่,,,45340
15127,2,ลายสอดประสานในด้านทัศนศิลป์ ก็คือองค์ประกอบของงานตกแต่งที่พบในศิลปะสมัยรัตนโกสินทร์ใช่หรือไม่,ไม่ใช่,,,321219
15128,2,อักษรไคดา หรืออักษรไคดะ เป็นชุดอักษรภาพที่เคยใช้ในหมู่เกาะยะเอะยะมะซึ่งตั้งอยู่ทางตะวันตกเฉียงใต้ของประเทศจีนใช่หรือไม่,ไม่ใช่,,,825117
